path_template,method,caller_file,caller_line,via_helper
/api/v1/admin/agents/health,GET,frontend/src/lib/hooks/use-admin.ts,61,direct
/api/v1/admin/agents/{*}/trigger,POST,frontend/src/lib/hooks/use-admin.ts,96,direct
/api/v1/admin/at-risk-students,GET,frontend/src/lib/hooks/use-admin.ts,156,direct
/api/v1/admin/audit-log,GET,frontend/src/app/admin/audit-log/page.tsx,16,fetch
/api/v1/admin/confusion-heatmap,GET,frontend/src/lib/hooks/use-admin.ts,123,direct
/api/v1/admin/console/v1,GET,frontend/src/app/admin/page.tsx,172,direct
/api/v1/admin/content-performance,GET,frontend/src/app/admin/content-performance/page.tsx,13,fetch
/api/v1/admin/courses/{*},PATCH,frontend/src/app/admin/courses/[id]/edit/page.tsx,31,direct
/api/v1/admin/exercises/{*}/rubric,PATCH,frontend/src/app/admin/courses/[id]/edit/page.tsx,54,direct
/api/v1/admin/pulse,GET,frontend/src/lib/hooks/use-admin.ts,205,direct
/api/v1/admin/stats,GET,frontend/src/lib/hooks/use-admin.ts,54,direct
/api/v1/admin/students/{*}/timeline,GET,frontend/src/lib/hooks/use-admin.ts,81,direct
/api/v1/admin/students{*},GET,frontend/src/lib/hooks/use-admin.ts,73,direct
/api/v1/agents/chat,POST,frontend/src/components/features/studio/prompt-preview-panel.tsx,34,fetch
/api/v1/agents/chat,POST,frontend/src/lib/hooks/use-agent-chat.ts,23,direct
/api/v1/agents/stream,POST,frontend/src/hooks/use-stream.ts,492,fetch
/api/v1/agents/stream,POST,frontend/src/hooks/use-stream.ts,858,fetch
/api/v1/auth/login,POST,frontend/src/lib/api-client.ts,313,wrapper
/api/v1/auth/me,GET,frontend/src/lib/api-client.ts,316,wrapper
/api/v1/auth/refresh,POST,frontend/src/lib/api-client.ts,87,fetch
/api/v1/auth/refresh,POST,frontend/src/lib/api-client.ts,315,wrapper
/api/v1/auth/register,POST,frontend/src/lib/api-client.ts,311,wrapper
/api/v1/billing/checkout,POST,frontend/src/lib/api-client.ts,386,wrapper
/api/v1/career/fit-score,POST,frontend/src/lib/hooks/use-career.ts,92,direct
/api/v1/career/interview-questions,GET,frontend/src/lib/hooks/use-career.ts,135,direct
/api/v1/career/jd-library,GET,frontend/src/lib/hooks/use-career.ts,117,direct
/api/v1/career/jd-library,POST,frontend/src/lib/hooks/use-career.ts,107,direct
/api/v1/career/jd-library/{*},DELETE,frontend/src/lib/hooks/use-career.ts,124,direct
/api/v1/career/learning-plan,POST,frontend/src/lib/hooks/use-career.ts,99,direct
/api/v1/career/resume,GET,frontend/src/lib/hooks/use-career.ts,74,direct
/api/v1/career/resume/regenerate,POST,frontend/src/lib/hooks/use-career.ts,82,direct
/api/v1/catalog,GET,frontend/src/lib/api-client.ts,1532,wrapper
/api/v1/chat/attachments,POST,frontend/src/lib/chat-api.ts,491,fetch
/api/v1/chat/context-suggestions{*},GET,frontend/src/lib/chat-api.ts,254,wrapper
/api/v1/chat/conversations,GET,frontend/src/lib/chat-api.ts,204,wrapper
/api/v1/chat/conversations/{*},DELETE,frontend/src/lib/chat-api.ts,218,wrapper
/api/v1/chat/conversations/{*},GET,frontend/src/lib/chat-api.ts,209,wrapper
/api/v1/chat/conversations/{*},PATCH,frontend/src/lib/chat-api.ts,211,wrapper
/api/v1/chat/conversations/{*},PATCH,frontend/src/lib/chat-api.ts,213,wrapper
/api/v1/chat/conversations/{*},PATCH,frontend/src/lib/chat-api.ts,216,wrapper
/api/v1/chat/conversations/{*}/export,GET,frontend/src/lib/chat-api.ts,542,fetch
/api/v1/chat/flashcards,POST,frontend/src/lib/chat-api.ts,345,wrapper
/api/v1/chat/messages/{*},GET,frontend/src/lib/chat-api.ts,244,wrapper
/api/v1/chat/messages/{*}/edit,POST,frontend/src/lib/chat-api.ts,237,wrapper
/api/v1/chat/messages/{*}/feedback,GET,frontend/src/lib/chat-api.ts,228,wrapper
/api/v1/chat/messages/{*}/feedback,POST,frontend/src/lib/chat-api.ts,223,wrapper
/api/v1/chat/messages/{*}/regenerate,GET,frontend/src/lib/chat-api.ts,461,fetch
/api/v1/chat/notebook,GET,frontend/src/lib/chat-api.ts,308,wrapper
/api/v1/chat/notebook,POST,frontend/src/lib/chat-api.ts,272,wrapper
/api/v1/chat/notebook/summarize,POST,frontend/src/lib/chat-api.ts,291,wrapper
/api/v1/chat/notebook/summary,GET,frontend/src/lib/chat-api.ts,313,wrapper
/api/v1/chat/notebook/{*},DELETE,frontend/src/lib/chat-api.ts,330,wrapper
/api/v1/chat/notebook/{*},PATCH,frontend/src/lib/chat-api.ts,326,wrapper
/api/v1/chat/notebook/{*}/review,POST,frontend/src/lib/chat-api.ts,328,wrapper
/api/v1/chat/quiz,POST,frontend/src/lib/chat-api.ts,357,wrapper
/api/v1/chat/quiz/{*},GET,frontend/src/lib/chat-api.ts,365,wrapper
/api/v1/chat/quiz/{*}/pregenerate,POST,frontend/src/lib/chat-api.ts,372,wrapper
/api/v1/chat/welcome-prompts,GET,frontend/src/lib/chat-api.ts,315,wrapper
/api/v1/clarify/check,POST,frontend/src/lib/api-client.ts,1167,wrapper
/api/v1/clarify/followups,POST,frontend/src/lib/api-client.ts,1169,wrapper
/api/v1/courses,GET,frontend/src/lib/api-client.ts,329,wrapper
/api/v1/courses/{*},GET,frontend/src/lib/api-client.ts,330,wrapper
/api/v1/courses/{*}/enroll,POST,frontend/src/lib/api-client.ts,334,wrapper
/api/v1/courses/{*}/lessons,GET,frontend/src/lib/api-client.ts,332,wrapper
/api/v1/courses/{*}/my-enrollment,GET,frontend/src/lib/api-client.ts,336,wrapper
/api/v1/courses/{*}/resources,GET,frontend/src/lib/api-client.ts,368,wrapper
/api/v1/diagnostic/questions,GET,frontend/src/lib/api-client.ts,576,wrapper
/api/v1/diagnostic/submit,POST,frontend/src/lib/api-client.ts,578,wrapper
/api/v1/execute,POST,frontend/src/lib/api-client.ts,621,wrapper
/api/v1/exercises,GET,frontend/src/lib/api-client.ts,402,wrapper
/api/v1/exercises,GET,frontend/src/lib/api-client.ts,409,wrapper
