method,path,tag,handler,file,line
GET,/api/v1/admin/agents/health,admin,get_agents_health,backend/app/api/v1/routes/admin.py,133
POST,/api/v1/admin/agents/{agent_name}/trigger,admin,trigger_agent,backend/app/api/v1/routes/admin.py,533
GET,/api/v1/admin/at-risk-students,admin,get_at_risk_students,backend/app/api/v1/routes/admin.py,292
GET,/api/v1/admin/audit-log,admin,get_audit_log,backend/app/api/v1/routes/admin.py,382
GET,/api/v1/admin/chat-feedback,admin,get_chat_feedback_rollup,backend/app/api/v1/routes/admin.py,767
GET,/api/v1/admin/confusion-heatmap,admin,get_confusion_heatmap,backend/app/api/v1/routes/admin.py,266
GET,/api/v1/admin/console/v1,admin,get_admin_console,backend/app/api/v1/routes/admin.py,885
GET,/api/v1/admin/content-performance,admin,get_content_performance,backend/app/api/v1/routes/admin.py,606
PATCH,/api/v1/admin/courses/{course_id},admin,update_course,backend/app/api/v1/routes/admin.py,659
PATCH,/api/v1/admin/exercises/{exercise_id}/rubric,admin,update_exercise_rubric,backend/app/api/v1/routes/admin.py,681
GET,/api/v1/admin/pulse,admin,get_pulse,backend/app/api/v1/routes/admin.py,702
GET,/api/v1/admin/stats,admin,get_stats,backend/app/api/v1/routes/admin.py,93
GET,/api/v1/admin/students,admin,list_students,backend/app/api/v1/routes/admin.py,204
GET,/api/v1/admin/students/{student_id}/notes,admin,list_student_notes,backend/app/api/v1/routes/admin.py,366
POST,/api/v1/admin/students/{student_id}/notes,admin,create_student_note,backend/app/api/v1/routes/admin.py,345
GET,/api/v1/admin/students/{student_id}/timeline,admin,get_student_timeline,backend/app/api/v1/routes/admin.py,421
POST,/api/v1/agents/chat,agents,chat,backend/app/api/v1/routes/agents.py,23
GET,/api/v1/agents/list,agents,list_agents,backend/app/api/v1/routes/agents.py,52
POST,/api/v1/agents/stream,agents-stream,stream_chat,backend/app/api/v1/routes/stream.py,511
POST,/api/v1/auth/login,auth,login,backend/app/api/v1/routes/auth.py,31
GET,/api/v1/auth/me,auth,me,backend/app/api/v1/routes/auth.py,50
GET,/api/v1/auth/oauth/github,oauth,github_login,backend/app/api/v1/routes/oauth.py,100
GET,/api/v1/auth/oauth/github/callback,oauth,github_callback,backend/app/api/v1/routes/oauth.py,120
GET,/api/v1/auth/oauth/google,oauth,google_login,backend/app/api/v1/routes/oauth.py,205
GET,/api/v1/auth/oauth/google/callback,oauth,google_callback,backend/app/api/v1/routes/oauth.py,227
POST,/api/v1/auth/refresh,auth,refresh,backend/app/api/v1/routes/auth.py,41
POST,/api/v1/auth/register,auth,register,backend/app/api/v1/routes/auth.py,21
POST,/api/v1/billing/checkout,billing,create_checkout,backend/app/api/v1/routes/billing.py,47
GET,/api/v1/billing/portal,billing,customer_portal,backend/app/api/v1/routes/billing.py,248
GET,/api/v1/billing/subscription,billing,get_subscription,backend/app/api/v1/routes/billing.py,285
POST,/api/v1/billing/webhook,billing,stripe_webhook,backend/app/api/v1/routes/billing.py,83
POST,/api/v1/career/fit-score,career,analyze_jd_fit,backend/app/api/v1/routes/career.py,93
GET,/api/v1/career/interview-questions,career,search_questions,backend/app/api/v1/routes/career.py,139
GET,/api/v1/career/jd-library,career,list_jd_library,backend/app/api/v1/routes/career.py,190
POST,/api/v1/career/jd-library,career,save_jd,backend/app/api/v1/routes/career.py,155
DELETE,/api/v1/career/jd-library/{jd_id},career,remove_jd_from_library,backend/app/api/v1/routes/career.py,200
POST,/api/v1/career/learning-plan,career,get_learning_plan_for_jd,backend/app/api/v1/routes/career.py,122
GET,/api/v1/career/resume,career,get_my_resume,backend/app/api/v1/routes/career.py,47
POST,/api/v1/career/resume/regenerate,career,regenerate_my_resume,backend/app/api/v1/routes/career.py,67
GET,/api/v1/catalog/,catalog,get_catalog,backend/app/api/v1/routes/catalog.py,44
POST,/api/v1/chat/attachments,chat,upload_attachment,backend/app/api/v1/routes/chat.py,572
GET,/api/v1/chat/context-suggestions,chat,context_suggestions,backend/app/api/v1/routes/chat.py,605
GET,/api/v1/chat/conversations,chat,list_conversations,backend/app/api/v1/routes/chat.py,84
POST,/api/v1/chat/conversations,chat,create_conversation,backend/app/api/v1/routes/chat.py,56
DELETE,/api/v1/chat/conversations/{conversation_id},chat,delete_conversation,backend/app/api/v1/routes/chat.py,354
GET,/api/v1/chat/conversations/{conversation_id},chat,get_conversation,backend/app/api/v1/routes/chat.py,255
PATCH,/api/v1/chat/conversations/{conversation_id},chat,update_conversation,backend/app/api/v1/routes/chat.py,322
GET,/api/v1/chat/conversations/{conversation_id}/export,chat,export_conversation,backend/app/api/v1/routes/chat.py,508
GET,/api/v1/chat/conversations/{conversation_id}/messages,chat,list_messages,backend/app/api/v1/routes/chat.py,295
